Game Name,Release Date,Metascore,User Score,Meta/User Delta,VR Required?
Rez Infinite,"Oct 13, 2016",89,7.7,1.2,PlayStation VR Compatible
Tetris Effect,"Nov9, 2018",89,7.7,1.2,PlayStation VR Compatible
Rise of the Tomb Raider: 20 Year Celebration,"Oct 11, 2016",88,8.1,0.7,PlayStation VR Compatible
Keep Talking and Nobody Explodes,"Oct 13, 2016",88,6.7,2.1,"PlayStation VR Compatible, PlayStation VR Required"
Resident Evil 7: biohazard,"Jan 24, 2017",86,7.9,0.7,PlayStation VR Compatible
Beat Saber,"Nov 20, 2018",85,8.2,0.3,PlayStation VR Required
Wipeout: Omega Collection,"Jun6, 2017",85,8.2,0.3,PlayStation VR Compatible
Moss,"Feb 27, 2018",85,8.0,0.5,"PlayStation VR Compatible, PlayStation VR Required"
Statik,"Apr 24, 2017",84,7.8,0.6,PlayStation VR Required
Thumper,"Oct 10, 2016",84,7.3,1.1,PlayStation VR Compatible
Polybius,"May9, 2017",84,7.5,0.9,PlayStation VR Compatible
I Expect You To Die,"Dec 13, 2016",82,7.6,0.6,PlayStation VR Required
Tekken 7,"Jun2, 2017",82,6.8,1.4,PlayStation VR Compatible
Trackmania Turbo,"Mar 22, 2016",81,7.6,0.5,PlayStation VR Compatible
Transpose,"Nov6, 2018",80,tbd,0,PlayStation VR Compatible
Ace Combat 7: Skies Unknown,"Jan 18, 2019",80,8.3,-0.3,PlayStation VR Compatible
Pinball FX2 VR,"Nov 29, 2016",80,6.7,1.3,PlayStation VR Required
Firewall Zero Hour,"Aug 28, 2018",79,8.3,-0.4,PlayStation VR Required
Hatsune Miku: Project Diva X,"Aug 30, 2016",78,7.3,0.5,PlayStation VR Compatible
The Persistence,"Jul 24, 2018",78,8.1,-0.3,PlayStation VR Required
RIGS: Mechanized Combat League,"Oct 13, 2016",78,7.6,0.2,PlayStation VR Required
Darknet,"Mar7, 2017",78,5.0,2.8,PlayStation VR Compatible
The Elder Scrolls V: Skyrim VR,"Nov 17, 2017",77,8.1,-0.4,PlayStation VR Required
GNOG,"May2, 2017",77,6.9,0.8,PlayStation VR Compatible
Tethered,"Oct 25, 2016",76,7.4,0.2,PlayStation VR Compatible
Race the Sun,"Oct 21, 2014",76,6.1,1.5,PlayStation VR Compatible
Werewolves Within,"Dec6, 2016",76,7.1,0.5,PlayStation VR Required
Infinite Minigolf,"Jul 25, 2017",75,7.0,0.5,PlayStation VR Compatible
SUPERHOT VR,"Jul 21, 2017",75,7.3,0.2,PlayStation VR Required
Gran Turismo Sport,"Oct 17, 2017",75,6.1,1.4,PlayStation VR Compatible
Star Trek: Bridge Crew,"May 30, 2017",75,7.0,0.5,PlayStation VR Compatible
Batman: Arkham VR,"Oct 11, 2016",74,7.2,0.2,PlayStation VR Required
SuperHyperCube,"Oct 13, 2016",74,6.1,1.3,PlayStation VR Required
Falcon Age,"Apr9, 2019",74,6.5,0.9,PlayStation VR Compatible
Sparc,"Aug 29, 2017",74,7.0,0.4,PlayStation VR Required
Persona 3: Dancing in Moonlight,"Dec4, 2018",73,6.2,1.1,PlayStation VR Compatible
Eagle Flight,"Nov8, 2016",73,6.9,0.4,PlayStation VR Required
Creed: Rise to Glory,"Sep 25, 2018",73,6.8,0.5,PlayStation VR Required
Persona 5: Dancing in Starlight,"Dec4, 2018",72,7.6,-0.4,PlayStation VR Compatible
Headmaster,"Oct 13, 2016",72,7.2,0.0,PlayStation VR Required
CastleStorm: Virtual Reality,"Aug1, 2017",72,3.8,3.4,PlayStation VR Required
Wayward Sky,"Oct 10, 2016",72,7.1,0.1,PlayStation VR Required
Tiny Trax,"Jul 25, 2017",72,5.6,1.6,PlayStation VR Required
Apex Construct,"Feb 20, 2018",72,7.0,0.2,"PlayStation VR Compatible, PlayStation VR Required"
Megaton Rainfall,"Oct 17, 2017",72,6.6,0.6,PlayStation VR Compatible
Until Dawn: Rush of Blood,"Oct 13, 2016",72,7.7,-0.5,PlayStation VR Required
Borderlands 2 VR,"Dec 14, 2018",72,7.6,-0.4,PlayStation VR Required
Bound,"Aug 16, 2016",71,7.1,0.0,PlayStation VR Compatible
Job Simulator,"Oct 13, 2016",71,7.0,0.1,PlayStation VR Required
Zone of the Enders: The 2nd Runner MARS,"Sep4, 2018",71,7.7,-0.6,PlayStation VR Compatible
DOOM VFR,"Dec1, 2017",71,6.7,0.4,PlayStation VR Required
Transference,"Sep 18, 2018",71,5.0,2.1,PlayStation VR Compatible
Farpoint,"May 16, 2017",71,8.1,-1.0,PlayStation VR Required
EVE: Valkyrie,"Oct 13, 2016",71,6.8,0.3,"PlayStation VR Compatible, PlayStation VR Required"
Volume,"Aug 18, 2015",71,7.0,0.1,PlayStation VR Compatible
Cold Iron,"Jan 30, 2018",71,7.7,-0.6,PlayStation VR Compatible
