Game Name,PSN Developer,Release Date,PSN Price,Metascore,MC_NumCriticalRatings,Metacritic User Score,MC_NumUserRatings,PSN User Rating,PSN_NumberUserReviews,PSN_Requirements,MetaCritic Requirements,Metacritic URL,PSN URL
100ft Robot Golf,NO GOBLIN LLC,"Sep 27, 2017",$9.99,56,18,5.9,21,3.5,61,N/A,PlayStation VR Compatible,https://www.metacritic.com/game/playstation-4/100ft-robot-golf,TESTMODE
Firewall Zero Hour,Sony Interactive Entertainment,"Aug 28, 2018",$39.99,79,38,8.3,257,4.5,1038,N/A,PlayStation VR Required,https://www.metacritic.com/game/playstation-4/firewall-zero-hour,TESTMODE
GNOG,KO-OP MODE INC.,"May 2, 2017",$9.99,77,29,6.9,27,4.5,97,N/A,PlayStation VR Compatible,https://www.metacritic.com/game/playstation-4/gnog,TESTMODE
Gran Turismo Sport,Sony Interactive Entertainment,"Oct 17, 2017",$19.99,75,83,6.0,1442,4.0,6109,N/A,PlayStation VR Compatible,https://www.metacritic.com/game/playstation-4/gran-turismo-sport,TESTMODE
Apex Construct,FAST TRAVEL GAMES AB,"Feb 20, 2018",$29.99,72,21,7.0,21,4.0,112,N/A,"PlayStation VR Compatible, PlayStation VR Required",https://www.metacritic.com/game/playstation-4/apex-construct,TESTMODE
Harmonix Music VR,"Harmonix Music Systems, Inc","Oct 10, 2016",$14.99,44,10,6.2,20,4.0,232,N/A,PlayStation VR Required,https://www.metacritic.com/game/playstation-4/harmonix-music-vr,TESTMODE
Headmaster,Frame Interactive Studio LLC,"Oct 13, 2016",$19.99,72,22,7.2,40,4.5,234,N/A,PlayStation VR Required,https://www.metacritic.com/game/playstation-4/headmaster,TESTMODE
Heavy Fire: Red Shadow,Mastiff LLC,"Oct 16, 2018",$19.99,36,9,2.9,7,3.0,32,N/A,PlayStation VR Compatible,https://www.metacritic.com/game/playstation-4/heavy-fire-red-shadow,TESTMODE
Here They Lie,Sony Interactive Entertainment,"Oct 13, 2016",$19.99,62,35,6.8,86,4.0,2241,N/A,PlayStation VR Required,https://www.metacritic.com/game/playstation-4/here-they-lie,TESTMODE
Home Sweet Home,Mastiff LLC,"Oct 16, 2018",$29.99,68,9,4.8,11,4.5,63,N/A,PlayStation VR Compatible,https://www.metacritic.com/game/playstation-4/home-sweet-home,TESTMODE
How We Soar,Penny Black Studios Ltd,"Nov 29, 2016",$19.99,67,11,5.9,8,4.0,51,N/A,PlayStation VR Required,https://www.metacritic.com/game/playstation-4/how-we-soar,TESTMODE
I Expect You To Die,Schell Games LLC,"Dec 13, 2016",$24.99,82,17,7.6,47,4.5,707,N/A,PlayStation VR Required,https://www.metacritic.com/game/playstation-4/i-expect-you-to-die,TESTMODE
Infinite Minigolf,Zen Studios,"Jul 25, 2017",$14.99,75,17,7.0,9,4.0,169,N/A,PlayStation VR Compatible,https://www.metacritic.com/game/playstation-4/infinite-minigolf,TESTMODE
Intruders: Hide and Seek,DAEDALIC ENTERTAINMENT GMBH,"Feb 13, 2019",$19.99,62,16,6.6,16,4.5,14,N/A,"PlayStation VR Compatible, PlayStation VR Required",https://www.metacritic.com/game/playstation-4/intruders-hide-and-seek,TESTMODE
Island Time VR,Project Flight School LLC dba Flight School,"Apr 3, 2018",$14.99,61,9,4.5,4,3.5,89,N/A,PlayStation VR Compatible,https://www.metacritic.com/game/playstation-4/island-time-vr,TESTMODE
Job Simulator,"OWLCHEMY LABS, INC.","Oct 13, 2016",$19.99,71,21,7.0,49,4.5,2222,N/A,PlayStation VR Required,https://www.metacritic.com/game/playstation-4/job-simulator,TESTMODE
Keep Talking and Nobody Explodes,"STEEL CRATE GAMES, INC.","Oct 13, 2016",$14.99,88,9,6.7,53,4.5,418,N/A,"PlayStation VR Compatible, PlayStation VR Required",https://www.metacritic.com/game/playstation-4/keep-talking-and-nobody-explodes,TESTMODE
Killing Floor: Incursion,Tripwire Interactive,"May 1, 2018",$19.99,68,18,5.2,12,4.5,451,N/A,PlayStation VR Compatible,https://www.metacritic.com/game/playstation-4/killing-floor-incursion,TESTMODE
Korix,StellarVR Limited,"Mar 28, 2017",$19.99,69,9,7.0,23,4.5,105,N/A,PlayStation VR Required,https://www.metacritic.com/game/playstation-4/korix,TESTMODE
Loading Human: Chapter 1,Maximum Games,"Oct 13, 2016",$39.99,53,16,6.5,28,3.5,85,N/A,PlayStation VR Required,https://www.metacritic.com/game/playstation-4/loading-human-chapter-1,TESTMODE
